발생장소_시도,관측일,평균기온,일최고기온,일최고기온시각,일최저기온,일최저기온시각,일평균현지기압,일최고현지기압,일최고현지기압시각,일최저현지기압,일최저현지기압시각,일평균해면기압,일최고해면기압,일최고해면기압시각,일최저해면기압,일최저해면기압시각,일평균상대습도,일최소상대습도,일최소상대습도시각,일평균수증기압,일최고수증기압,일최고수증기압시각,일최저수증기압,일최저수증기압시각,일평균풍속,일합성풍속,일합성풍향,일최대풍속,일최대풍속시각,일최대풍속풍향,일최대순간풍속,일최대순간풍속시각,일최대순간풍속풍향,풍정합,일최다풍향,일강수량,10분최다강수량,10분최다강수량시각,1시간최다강수량,1시간최다강수량시각,9_9 강수량,일최심신적설,일최심신적설시각,일최심적설,일최심적설시각,합계깊이신적설,일평균전운량,일평균중하층운량,최저운고,최저운고시각,최다운량,최다운량시각,일합계일조시간,일합계일사량,일합계소형증발량,일합계대형증발량,일평균지면온도,일평균이슬점온도
강원,20140101,3.630769230769231,6.361538461538462,1403.3846153846155,-0.3307692307692307,713.1538461538462,985.0153846153846,988.123076923077,1991.2307692307693,982.3538461538462,344.38461538461536,1012.2153846153846,1015.3615384615385,2361.923076923077,1009.3307692307692,461.15384615384613,45.400000000000006,27.846153846153847,1013.0,3.5461538461538464,5.1692307692307695,1592.3076923076924,2.338461538461538,892.3076923076923,3.9846153846153842,3.6923076923076925,237.2076923076923,7.8307692307692305,1484.1538461538462,237.69230769230768,14.584615384615384,1421.5384615384614,256.9230769230769,3449.6923076923076,230.76923076923077,0.0,,,,,0.0,,,2.0666666666666664,386.3333333333333,,2.85,2.6833333333333336,8.0,866.6666666666666,8.0,1450.0,6.06923076923077,6.922,2.066666666666667,,0.13076923076923078,
경북,20140101,4.98,8.84,1386.8666666666666,-0.18666666666666665,762.6,998.9866666666666,1001.3199999999999,2354.266666666667,995.5,1.3333333333333333,1013.3533333333332,1015.7466666666667,2354.4666666666667,1009.8199999999999,2.1333333333333333,39.22666666666667,22.266666666666666,1186.8666666666666,3.2933333333333334,4.406666666666666,833.3333333333334,2.32,1260.0,3.4733333333333336,3.2,271.06,7.326666666666667,1161.4,274.6666666666667,13.566666666666666,1354.9333333333334,280.6666666666667,2997.133333333333,272.0,0.1,,,,,0.1,,,12.0,1.0,,1.6600000000000001,1.6600000000000001,10.0,925.0,5.0,1340.0,7.206666666666666,9.26,3.033333333333333,,1.6533333333333333,
경북,20140102,2.54,8.846666666666666,1400.1333333333334,-2.453333333333333,1661.5333333333333,1005.6533333333333,1007.6466666666668,1207.5333333333333,1001.2733333333333,3.6,1020.2800000000001,1022.3333333333334,1356.8666666666666,1015.6933333333333,3.6,43.086666666666666,17.8,1263.8,2.966666666666667,4.366666666666666,420.0,1.9466666666666665,1286.6666666666667,2.26,1.6866666666666668,269.7,5.453333333333333,1165.8,266.6666666666667,9.093333333333334,1006.9333333333333,288.6666666666667,1951.2,255.33333333333334,,,,,,,,,7.0,1.0,,2.56,0.9,10.0,300.0,6.0,1720.0,8.213333333333333,9.88,2.4333333333333336,,1.22,
강원,20140102,0.823076923076923,6.2846153846153845,1390.6153846153845,-3.9615384615384617,1452.2307692307693,992.5461538461539,994.3384615384615,1220.2307692307693,988.0923076923077,1.3076923076923077,1020.2153846153846,1022.2538461538461,1295.4615384615386,1015.3307692307692,1.3076923076923077,43.8,19.0,1273.1538461538462,2.6384615384615384,3.569230769230769,930.7692307692307,1.7692307692307692,1223.076923076923,1.7461538461538462,0.9230769230769231,269.25384615384615,4.6923076923076925,864.6923076923077,212.30769230769232,7.93076923076923,723.3076923076923,260.0,1521.3846153846155,215.3846153846154,,,,,,,,,2.15,0.5,,0.16666666666666666,0.016666666666666666,10.0,300.0,1.5,333.3333333333333,8.253846153846153,8.726,2.1666666666666665,,-0.37692307692307697,
강원,20140103,1.546153846153846,7.123076923076923,1374.1538461538462,-3.5384615384615383,938.8461538461538,989.376923076923,992.823076923077,1.6923076923076923,986.6153846153846,1441.076923076923,1016.8615384615385,1020.876923076923,17.46153846153846,1013.4769230769232,1434.923076923077,54.34615384615385,27.384615384615383,1252.1538461538462,3.446153846153846,4.576923076923077,1976.923076923077,2.5461538461538464,884.6153846153846,1.7000000000000002,1.2461538461538462,204.36153846153846,4.630769230769231,1215.076923076923,219.23076923076923,7.546153846153846,1432.3846153846155,240.0,1474.6153846153845,185.3846153846154,,,,,,0.7,,,1.0,0.5,,6.116666666666667,2.6999999999999997,8.333333333333334,1300.0,8.5,700.0,3.5153846153846158,5.204,0.6499999999999999,,-0.25384615384615383,
경북,20140103,1.3733333333333335,9.3,1478.4,-4.513333333333334,512.6666666666666,1002.4733333333334,1006.1533333333333,1.0,999.7133333333334,1463.7333333333333,1017.1466666666668,1021.0466666666667,1.1333333333333333,1013.9066666666666,1464.4,47.4,21.133333333333333,1462.1333333333334,2.9733333333333336,3.7199999999999998,1273.3333333333333,2.32,1413.3333333333333,1.4133333333333336,0.9266666666666666,250.36,3.8533333333333335,1399.6,224.66666666666666,6.6866666666666665,1609.6666666666667,251.33333333333334,1216.1333333333334,220.0,,,,,,0.5,,,4.0,1.0,,5.38,1.4,25.6,1100.0,9.0,1040.0,3.8066666666666666,6.515000000000001,1.4666666666666668,,0.14000000000000007,
강원,20140104,-0.6230769230769231,3.5846153846153848,994.5384615384615,-4.423076923076923,806.6923076923077,992.0999999999999,993.5923076923077,1922.6923076923076,989.5923076923077,334.53846153846155,1019.9076923076924,1021.4538461538461,1699.8461538461538,1017.1153846153846,658.6923076923077,81.71538461538461,54.38461538461539,809.4615384615385,4.769230769230769,5.407692307692307,1307.6923076923076,3.6307692307692303,515.3846153846154,1.176923076923077,0.7923076923076924,162.1769230769231,3.7,1139.0,175.3846153846154,5.976923076923077,1090.1538461538462,163.07692307692307,1005.4615384615385,94.61538461538461,7.857142857142857,,,,,5.1,4.733333333333333,2216.6666666666665,4.8999999999999995,2216.6666666666665,4.733333333333333,7.233333333333333,7.033333333333334,7.5,516.6666666666666,8.5,750.0,2.1538461538461537,3.554,1.8333333333333333,,-0.8153846153846155,
경북,20140104,1.4466666666666665,7.913333333333333,1236.8666666666666,-3.7266666666666666,939.6666666666666,1003.9866666666666,1005.88,2256.6666666666665,1001.5333333333333,310.46666666666664,1018.6666666666666,1020.6133333333333,2257.0,1015.88,754.6,67.4,34.4,1012.0,4.54,5.819999999999999,1313.3333333333333,3.1,766.6666666666666,2.04,1.4200000000000002,149.23333333333332,5.133333333333334,1089.5333333333333,148.66666666666666,7.953333333333333,1201.9333333333334,156.0,1760.9333333333334,178.0,6.116666666666667,,,,,6.449999999999999,2.6999999999999997,1539.5,3.05,1539.5,2.6999999999999997,6.56,4.74,7.0,1400.0,9.2,1100.0,5.98,8.805,0.8666666666666667,,0.84,
강원,20140105,-0.6846153846153846,3.930769230769231,1363.3076923076924,-4.369230769230769,2197.6153846153848,995.4153846153846,998.2384615384616,2169.3076923076924,993.123076923077,420.53846153846155,1023.2923076923076,1026.676923076923,2355.3076923076924,1020.5999999999999,724.1538461538462,77.51538461538462,50.53846153846154,1457.6153846153845,4.492307692307692,5.346153846153846,784.6153846153846,3.5846153846153848,992.3076923076923,1.0846153846153845,0.6230769230769231,268.68461538461537,3.661538461538462,1455.8461538461538,202.30769230769232,5.961538461538462,1582.3846153846155,256.15384615384613,940.0769230769231,204.6153846153846,0.13999999999999999,,,,,,0.1,445.0,4.933333333333334,148.66666666666666,0.1,4.833333333333333,3.3333333333333335,7.833333333333333,266.6666666666667,8.666666666666666,383.3333333333333,4.323076923076924,5.684,1.0666666666666667,,-0.15384615384615385,
경북,20140105,1.7533333333333334,7.033333333333333,1350.8666666666666,-1.8399999999999999,1650.6,1007.6533333333333,1010.52,2321.133333333333,1005.38,539.2,1022.36,1025.44,2325.266666666667,1019.9866666666666,721.3333333333334,63.24,34.93333333333333,1479.7333333333333,4.3133333333333335,5.546666666666667,833.3333333333334,2.9466666666666668,1613.3333333333333,1.8333333333333333,1.5466666666666666,289.7933333333333,4.753333333333333,1473.2666666666667,274.0,7.813333333333333,1509.3333333333333,262.0,1586.9333333333334,261.3333333333333,7.24,,,,,41.0,29.0,2359.0,16.4,1180.0,29.1,5.26,4.38,7.2,480.0,9.6,640.0,5.04,7.65,1.3,,1.7266666666666666,
